,main,DISR1,DISR10,DISR26,DISR106,DISR150,DISR170,DISR250,DISR310,DISR337,DISR345
DISR1,0.0052631578947368585,0.0,0.0052631578947368585,0.2894736842105263,0.010526315789473661,0.02631578947368418,0.010526315789473661,0.38421052631578945,0.10000000000000003,0.08421052631578946,0.02631578947368418
DISR10,0.0,0.0052631578947368585,0.0,0.2947368421052632,0.01578947368421052,0.021052631578947323,0.0052631578947368585,0.37894736842105264,0.10526315789473678,0.0789473684210526,0.021052631578947323
DISR26,0.2947368421052632,0.2894736842105263,0.2947368421052632,0.0,0.30000000000000004,0.3157894736842105,0.30000000000000004,0.4842105263157895,0.23157894736842105,0.3315789473684211,0.3157894736842105
DISR106,0.01578947368421052,0.010526315789473661,0.01578947368421052,0.30000000000000004,0.0,0.0368421052631579,0.021052631578947323,0.39473684210526316,0.10000000000000003,0.09473684210526317,0.0368421052631579
DISR150,0.021052631578947323,0.02631578947368418,0.021052631578947323,0.3157894736842105,0.0368421052631579,0.0,0.02631578947368418,0.37894736842105264,0.12631578947368421,0.08947368421052632,0.010526315789473661
DISR170,0.0052631578947368585,0.010526315789473661,0.0052631578947368585,0.30000000000000004,0.021052631578947323,0.02631578947368418,0.0,0.3736842105263158,0.11052631578947364,0.08421052631578946,0.02631578947368418
DISR250,0.37894736842105264,0.38421052631578945,0.37894736842105264,0.4842105263157895,0.39473684210526316,0.37894736842105264,0.3736842105263158,0.0,0.43157894736842106,0.3631578947368421,0.368421052631579
DISR310,0.10526315789473678,0.10000000000000003,0.10526315789473678,0.23157894736842105,0.10000000000000003,0.12631578947368421,0.11052631578947364,0.43157894736842106,0.0,0.14210526315789473,0.12631578947368421
DISR337,0.0789473684210526,0.08421052631578946,0.0789473684210526,0.3315789473684211,0.09473684210526317,0.08947368421052632,0.08421052631578946,0.3631578947368421,0.14210526315789473,0.0,0.08947368421052632
DISR345,0.021052631578947323,0.02631578947368418,0.021052631578947323,0.3157894736842105,0.0368421052631579,0.010526315789473661,0.02631578947368418,0.368421052631579,0.12631578947368421,0.08947368421052632,0.0
main,0.0,0.0052631578947368585,0.0,0.2947368421052632,0.01578947368421052,0.021052631578947323,0.0052631578947368585,0.37894736842105264,0.10526315789473678,0.0789473684210526,0.021052631578947323
